[ 2025-12-09 16:53:52,303 ] 20 root - INFO - Initiate the data ingestion
[ 2025-12-09 16:53:54,487 ] 82 root - INFO - Performed train-test split.
[ 2025-12-09 16:53:54,610 ] 22 root - INFO - Data Initiation Completed
[ 2025-12-09 16:53:54,623 ] 26 root - INFO - Initiate the data Validation
[ 2025-12-09 16:53:54,717 ] 32 root - INFO - Required number of columns:2
[ 2025-12-09 16:53:54,717 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-09 16:53:54,717 ] 32 root - INFO - Required number of columns:2
[ 2025-12-09 16:53:54,717 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-09 16:53:55,066 ] 28 root - INFO - data Validation Completed
[ 2025-12-09 16:53:55,067 ] 31 root - INFO - data Transformation started
[ 2025-12-09 16:53:55,067 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-12-09 16:53:55,068 ] 65 root - INFO - Starting data transformation
[ 2025-12-09 16:53:55,129 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-12-09 16:53:55,130 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-12-09 16:53:55,148 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-09 16:53:55,152 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-09 16:53:55,152 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-09 16:53:55,157 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-09 16:53:55,159 ] 35 root - INFO - data Transformation completed
[ 2025-12-09 16:53:55,159 ] 37 root - INFO - Model Training sstared
[ 2025-12-09 17:00:45,454 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-09 17:00:45,507 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-09 17:00:45,507 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-09 17:00:45,558 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-09 17:00:45,558 ] 310 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\12_09_2025_16_53_49\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9908479546948475, precision_score=0.9876020562443302, recall_score=0.9941152597402597), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.985201702817758, precision_score=0.9818181818181818, recall_score=0.9886086248982913))
[ 2025-12-09 17:00:45,565 ] 42 root - INFO - Model Training artifact created
