[ 2025-12-09 16:34:42,342 ] 20 root - INFO - Initiate the data ingestion
[ 2025-12-09 16:35:23,130 ] 82 root - INFO - Performed train-test split.
[ 2025-12-09 16:35:23,265 ] 22 root - INFO - Data Initiation Completed
[ 2025-12-09 16:35:23,275 ] 26 root - INFO - Initiate the data Validation
[ 2025-12-09 16:35:23,367 ] 32 root - INFO - Required number of columns:2
[ 2025-12-09 16:35:23,367 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-09 16:35:23,367 ] 32 root - INFO - Required number of columns:2
[ 2025-12-09 16:35:23,367 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-09 16:35:23,624 ] 28 root - INFO - data Validation Completed
[ 2025-12-09 16:35:23,625 ] 31 root - INFO - data Transformation started
[ 2025-12-09 16:35:23,626 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-12-09 16:35:23,626 ] 65 root - INFO - Starting data transformation
[ 2025-12-09 16:35:23,687 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-12-09 16:35:23,687 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-12-09 16:35:23,709 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-09 16:35:23,715 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-09 16:35:23,715 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-09 16:35:23,719 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-09 16:35:23,721 ] 35 root - INFO - data Transformation completed
[ 2025-12-09 16:35:23,722 ] 37 root - INFO - Model Training sstared
